FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN
$flow.nointernet.customer.FiberCableChanged		Il cavo Fiber è stato cambiato?				
$flow.nointernet.customer.FiberCableIsSalt		Il cavo Fiber è di Salt?				
$flow.nointernet.customer.InstallationOk		L'installazione è OK?				
$flow.nointernet.customer.WongOTO		Creare un ticket S.O. 511 WRONG OTO  ID 				
$flow.nointernet.fiberbox._RebootBox	(staccare e riattaccare l'alimentazione)	Riavviare il Fiber Box				
$flow.nointernet.fiberbox._SpeedAndStability	Seguire la procedura Speed e stabilità	Valori RX fuori dalla norma?				
$flow.nointernet.fiberbox.BadRxValues		RX è > -11 dBm o RX < -18 dBm?	vti/rx_values			
$flow.nointernet.fiberbox.BootSequence	<T>- Fiber LED RED (steady/blinking),<N><T> - Fiber LED GREEN BLINKING,<N> WWW OFF,<N> Fiber LED OFF	La sequenza di boot è:?				
$flow.nointernet.fiberbox.FiberLedGreenStable		Il LED Fiber è verde e non lampeggia?				
$flow.nointernet.fiberbox.IconRedNoRX		Nessun valore RX e icona rossa?				
$flow.nointernet.so._CreateTicketModemCNX		Creare un ticket S.O. 521 MODEM CONNEXION				
$flow.nointernet.so._InformTicketStatus	Inserire le informazioni mancanti nel ticket.	Informare il cliente sull'avanzamento del ticket.	general/conversation			
$flow.nointernet.so.ModemConnectionTicketOpen		Esiste un ticket S.O. 521 MODEM CONNECTION aperto?				
$flow.nointernet.so.IsTicketOpened	Verificare in S.O.<N>215, 413, 414, 416 o 511	Esiste un ticket aperto per lo stesso problema?	so/techticketopened			
$flow.nointernet.vti.CheckContractorVTI	Verificare in VTI che il contratto aperto corrisponda al cliente. <N>*Se il cliente non è rintracciabile in VTI, seguire il processo di attivazione.	Il N° contractor corrisponde al cliente?	vti/search_contractor	È quello giusto	Introvabile	
$flow.nointernet.vti.ActivationDone		La fornitura dell'ordine è OK?				
$flow.nointernet.vti.IconStatusBoxManagement	Verificare in VTI Healthcheck.<N>*WANMGT WANHSI WANVOIP VOICE_REG<N>	Tutto è VERDE* in VTI > Dashboard Healthcheck > Router ?	vti/IconStatusBoxManagement		FiberRED no RX values	
$flow.nointernet.vti.IsBarred		Il cliente è disattivato?	vti/IsBarred_fr			
$flow.powercable._CreateTicketModemBoxSwap	Il supporto tecnico ricontatterà a breve	Fare un ticket Box Swap				
$flow.powercable._RemoveMultiplePowerSocket	Se il Box è collegato a una presa multipla, attaccarlo direttamente alla presa murale.<N>Provare con un'altra presa murale	Controllare i collegamenti della presa elettrica				
$flow.powercable.CanGoToTheShop	Lì potrà provare il suo box con un'altra alimentazione.	Il cliente può andare nello Store più vicino?				
$flow.powercable.LedPowerOn	(il LED Power deve essere verde)	Il Box è alimentato correttamente?	box/powerLed			
$flow.stability._BadOutstandingFlows	Reboot BOX<N>Seguire la sequenza dei LED per vedere se è tutto ok e aprire Box Admin<N>Annotare RX/TX	I flussi sono insolitamente lenti				
$flow.stability._CNXallGooodMan	cf Qoof 'Argumentaire - Perception de lenteur de la connexion Internet'<N>https://qoof.salt.ch/fr/knowledge/technical/wording_tips/wording_poor_internet_speed	La connessione funziona normalmente				
$flow.stability._OpenSpeedTest	Con un browser o da installer App	Aprire salt.speedtest.net				
$flow.stability._RedoTestAndWthOtherNTW	2,4Ghz <-> 5Ghz	Rifare i test sull'altra rete WiFi				
$flow.stability._SelectSaltServer	"Premere il tasto GO al centro dello schermo
   <N>Patientate ~30s, il tempo che
   <N>si facciano i calcoli
   <N>Ripetere una o due volte"	Selezionare il server Salt				
$flow.stability.LanOrWiFi		Test LAN o WiFi		LAN	WiFi	
flow.stability.ValuesOverEightHundred		Valori RX > 800 Mbps?				
$flow.stability.ValuesOverTwenty		Valori superiori o uguali a 20Mbps?				
$flow.swapcable._FiberCableByPost	1. Creare un ticket 5.2.6<N>(prima delle 16 il cavo arriverà il giorno dopo<N><N>altrimenti dopo due giorni)	Invio postale di un cavo Fiber				
$flow.swapcable._FiberCableByStore	Inviare un e-mail ricordandogli di portare con sé il vecchio cavo.	Mandare il cliente in uno Store.				
$flow.swapcable.SwapFiberCable	Questo può essere fatto in un Salt Store o alla posta.	Bisogna cambiare il cavo di Fibra ottica.		STORE	POST	
$flow.wifi._ConteactDeviceSupport		Contattare il supporto tecnico dell'apparecchio	box/box_reset			
$flow.wifi._CreateTicketWifiIssue		Crare un ticket 'Wifi issue'				
$flow.wifi._ResetWifiParams	(Forget WiFi sui dispositivi)	Ripristinare i parametri WiFi dell'apparecchio alle impostazioni di fabbrica				
$flow.wifi._RestartDevice		Riavviare l'apparecchio				
$flow.wifi._SwitchOnUsingButton	Per X secondi	Premere il tasto di fronte	box/box_front_wlan			
$flow.wifi._SwitchOnWifiFromAdminConsole		Attivare le 2 WiFi dall'admin del box				
$flow.wifi.CanConnectToBoxWithLAN		È possibile collegare un apparecchio via LAN?				
$flow.wifi.ErrorIconOnWifiIcon		Errore sull'icona della WiFi?				
$flow.wifi.WifiButtonBroken	(quando lo si preme, non torna alla sua posizione originale)	Il tasto della WiFi è rotto?				
$flow.wifi.WifiOnInDashboard	Contrariamente a questa immagine, le icone del WiFi devono essere verdi	Le 2 WiFi sono verdi nel dashboard ?	vti/WifiOnInDashboard			
$flow.wifi.WiFiPasswordAccepted		La password WiFi è accettata?				
$flow.wifi.WifiVisibleByAppleTV	(Staccare prima il cavo LAN dell'AppleTV)	La WiFi è visibile dall'Apple TV ?				
$flow.wifi.WifiVisibleOnDevice		La WiFi è visibile sull'apparecchio?				
$flow.activation.SendTicketToTLPool	!! Procédure à completer	Envoyer Ticket XXX TL Pool.				
$flow.End	Click >> to start a new trouble shooting session	End	general/end			
